,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
774033,4.44,,,,,9.206783150259314e-19,,,,,2.0759331623867817e-17,HV,0
763614,0.12,,0.8863728099526584,,3.7390849302645935e-40,1.5625396373828271e-34,,0.22823192819157445,,3.8703874999769725e-45,5.327908475744656e-44,HV,0
761093,0.36,0.8863728099526584,7.325294280377921e-73,1.1238344263824481e-31,2.185287332053759e-62,4.2915578655425274e-39,0.22823192819157445,1.7604983226936527e-67,4.2915578655425274e-39,2.1745063091407918e-79,4.2915578655425274e-39,HV,0
761098,16.4,7.325294280377921e-73,6.48750144084547e-59,8.926402876821863e-42,4.786653114517815e-34,9.222878034006115e-09,1.7604983226936527e-67,5.364035185661794e-66,1.6149739485228108e-36,3.5876209380595414e-20,0.007668141618886344,HV,1
761102,0.64,6.48750144084547e-59,0.9952074388694081,1.027010718195644e-45,1.1751744523287492e-27,1.475949845555557e-25,5.364035185661794e-66,0.03604044231430257,1.0204802729413189e-77,4.581617798606835e-48,2.869668865604379e-49,HV,0
761105,0.52,0.9952074388694081,5.053167175939877e-35,1.59942577801157e-28,4.118975856424422e-16,9.357404620757031e-31,0.03604044231430257,6.48750144084547e-59,3.0945381872832893e-58,7.006828784570818e-47,3.1254746451778834e-56,HV,0
761112,11.48,5.053167175939877e-35,0.7667067650024223,0.31778103283453074,0.02213087446680441,3.181645828005833e-09,6.48750144084547e-59,0.004326422589915993,0.270329069484192,7.681152510188974e-05,1.5934937884526227e-05,HV,1
737490,19.92,0.7667067650024223,1.550147223214658e-64,5.437178785887903e-09,0.0057802406426275136,0.004326422589915993,0.004326422589915993,1.3666555610256655e-118,5.672737421572143e-14,0.0001615202610968331,0.42876959833128964,HV,1
717641,4.16,1.550147223214658e-64,1.1112747154054147e-13,6.48750144084547e-59,1.4214899107395567e-55,2.3253806034982667e-52,1.3666555610256655e-118,1.3014479285069932e-32,1.157806096907046e-135,1.0898737981738669e-83,1.8492851139729247e-85,HV,1
773155,0.4,1.1112747154054147e-13,0.5585594327069068,3.5876209380595414e-20,2.1012127091701578e-29,1.2263118062588385e-21,1.3014479285069932e-32,0.15915169261452353,5.165007853947324e-22,5.053167175939877e-35,3.670608057778416e-23,HV,0
761115,0.56,0.5585594327069068,0.9998945640423377,9.395122187563397e-17,5.712209738808767e-26,1.4951013308512084e-23,0.15915169261452353,0.22823192819157445,1.59942577801157e-28,5.1374895898660434e-36,8.926402876821863e-42,HV,0
761117,0.44,0.9998945640423377,0.9998945640423377,1.2263118062588385e-21,2.157374287889546e-22,3.780982629046643e-25,0.22823192819157445,0.3706474470171066,2.6637411820421683e-30,1.027010718195644e-45,4.354565666586339e-28,HV,0
773195,0.48,0.9998945640423377,0.9952074388694081,1.4951013308512084e-23,1.2263118062588385e-21,8.936182712091501e-23,0.3706474470171066,0.31778103283453074,6.743148868801961e-21,9.206783150259314e-19,5.053167175939877e-35,HV,0
761138,0.52,0.9952074388694081,0.9999999786717801,2.8875365205513346e-21,1.2263118062588385e-21,1.5617752839811438e-20,0.31778103283453074,0.4916898698540652,7.006828784570818e-47,3.7390849302645935e-40,5.165007853947324e-22,HV,0
761149,0.56,0.9999999786717801,1.4951013308512084e-23,2.8875365205513346e-21,3.563758645331359e-15,1.2263118062588385e-21,0.4916898698540652,4.3055912093737255e-08,2.0306071725849707e-18,8.936182712091501e-23,1.4527324837068053e-33,HV,0
761174,10.24,1.4951013308512084e-23,0.00023171683026536511,0.270329069484192,3.029792736440307e-07,3.462166085630029e-10,4.3055912093737255e-08,2.185287332053759e-62,3.1437787896692656e-27,0.0012649386262903305,1.2120300423138108e-06,HV,1
769703,30.44,0.00023171683026536511,8.336982992857103e-27,1.5617752839811438e-20,3.462166085630029e-10,1.7496489473203055e-15,2.185287332053759e-62,2.8393015726534797e-54,8.171971774555533e-64,4.786653114517815e-34,4.581617798606835e-48,HV,1
761188,0.56,8.336982992857103e-27,5.2402031702164816e-05,1.0918261406495755e-10,2.1601819722931786e-13,1.5150272731082582e-12,2.8393015726534797e-54,0.00046676589861970356,2.0759331623867817e-17,2.1917351515813012e-26,4.1407391555186358e-19,HV,0
769773,0.88,5.2402031702164816e-05,0.045509644873646095,1.5617752839811438e-20,2.4183748761022484e-24,1.5617752839811438e-20,0.00046676589861970356,0.270329069484192,2.4183748761022484e-24,1.1238344263824481e-31,4.2915578655425274e-39,HV,0
772859,0.88,0.045509644873646095,0.9952074388694081,5.672737421572143e-14,2.873397022937326e-14,9.642024586720331e-18,0.270329069484192,0.01715995048736122,1.4527324837068053e-33,1.9515732948808837e-10,2.1917351515813012e-26,HV,0
772874,1.04,0.9952074388694081,0.9990098806936499,8.522774511431384e-16,2.1917351515813012e-26,2.8558264098090667e-12,0.01715995048736122,0.0878469342643513,4.736365726008814e-38,4.581617798606835e-48,8.522774511431384e-16,HV,0
761199,1.0,0.9990098806936499,0.9644366597493446,7.975937231442947e-13,5.8229685535173e-29,9.60323195352951e-25,0.0878469342643513,0.19127733096650482,6.062430861827832e-11,5.415950550882715e-53,4.2915578655425274e-39,HV,0
772889,1.12,0.9644366597493446,0.42876959833128964,2.4183748761022484e-24,2.1917351515813012e-26,8.336982992857103e-27,0.19127733096650482,0.028341477459888353,7.51492545397327e-30,1.027010718195644e-45,1.9464052738002656e-43,HV,0
761214,1.44,0.42876959833128964,1.9749961157727357e-16,6.0386087815401604e-24,2.873397022937326e-14,3.670608057778416e-23,0.028341477459888353,4.354565666586339e-28,1.3014479285069932e-32,1.9749961157727357e-16,1.3014479285069932e-32,HV,0
770407,18.0,1.9749961157727357e-16,7.20215097957018e-15,2.386791561924706e-05,0.5585594327069068,0.057064223622223874,4.354565666586339e-28,1.6149739485228108e-36,3.5493236588966483e-05,0.07105129403332416,1.8961536661976062e-06,HV,1
761222,1.32,7.20215097957018e-15,0.9952074388694081,2.1601819722931786e-13,,2.0759331623867817e-17,1.6149739485228108e-36,0.7667067650024223,1.2263118062588385e-21,,1.4527324837068053e-33,HV,0
768945,1.48,0.9952074388694081,4.3055912093737255e-08,9.395122187563397e-17,1.7496489473203055e-15,,0.7667067650024223,1.2263118062588385e-21,1.1751744523287492e-27,8.174068160010661e-20,,HV,0
761240,12.68,4.3055912093737255e-08,2.5953147012058293e-08,,7.681152510188974e-05,0.00033005044310849946,1.2263118062588385e-21,4.4426543665394945e-18,,0.0017386399220547539,0.045509644873646095,HV,0
772919,1.68,2.5953147012058293e-08,,7.20215097957018e-15,,1.4441813162158956e-14,4.4426543665394945e-18,,2.0759331623867817e-17,,5.165007853947324e-22,HV,0
717632,0.92,,0.9999999786717801,,2.6637411820421683e-30,4.118975856424422e-16,,0.6280441779187196,,4.786653114517815e-34,6.743148868801961e-21,HV,0
764135,0.88,0.9999999786717801,0.9952074388694081,8.522774511431384e-16,5.028441612446024e-37,2.1012127091701578e-29,0.6280441779187196,0.984904522198453,3.780982629046643e-25,5.327908475744656e-44,3.7390849302645935e-40,HV,0
761318,0.96,0.9952074388694081,0.0006554171159690627,5.8229685535173e-29,1.4527324837068053e-33,1.5507212228858488e-37,0.984904522198453,2.386791561924706e-05,1.4326704453390092e-38,4.581617798606835e-48,5.327908475744656e-44,HV,0
761322,1.52,0.0006554171159690627,1.3014479285069932e-32,6.743148868801961e-21,7.975937231442947e-13,4.4426543665394945e-18,2.386791561924706e-05,1.6149739485228108e-36,3.780982629046643e-25,9.357404620757031e-31,1.59942577801157e-28,HV,0
717643,13.68,1.3014479285069932e-32,6.743148868801961e-21,7.691068823747695e-07,6.062430861827832e-11,7.975937231442947e-13,1.6149739485228108e-36,3.780982629046643e-25,0.01715995048736122,4.54061202082523e-06,0.07105129403332416,HV,1
761325,1.32,6.743148868801961e-21,1.0918261406495755e-10,1.5528752782838203e-08,1.8479696316088673e-09,3.340855716867488e-11,3.780982629046643e-25,1.6149739485228108e-36,9.206783150259314e-19,5.342242438249797e-12,5.415950550882715e-53,HV,0
761431,12.52,1.0918261406495755e-10,1.065359541719866e-09,0.057064223622223874,0.00023171683026536511,0.01715995048736122,1.6149739485228108e-36,2.157374287889546e-22,0.02213087446680441,0.045509644873646095,5.342242438249797e-12,HV,1
761428,1.36,1.065359541719866e-09,0.9999999786717801,1.5528752782838203e-08,2.157374287889546e-22,1.8472470418103187e-19,2.157374287889546e-22,0.02213087446680441,6.062430861827832e-11,1.2263118062588385e-21,8.336982992857103e-27,HV,0
761327,1.4,0.9999999786717801,0.984904522198453,3.5876209380595414e-20,6.096062772783974e-10,1.4951013308512084e-23,0.02213087446680441,0.984904522198453,1.5507212228858488e-37,5.672737421572143e-14,3.2576011413383126e-31,HV,0
773180,1.36,0.984904522198453,0.9999961756804284,8.936182712091501e-23,2.0306071725849707e-18,3.181645828005833e-09,0.984904522198453,0.01715995048736122,1.1238344263824481e-31,6.0386087815401604e-24,1.1112747154054147e-13,HV,0
761329,1.32,0.9999961756804284,0.9952074388694081,1.8479696316088673e-09,9.642024586720331e-18,4.4426543665394945e-18,0.01715995048736122,0.004326422589915993,6.0386087815401604e-24,4.736365726008814e-38,5.053167175939877e-35,HV,0
717665,1.56,0.9952074388694081,2.1917351515813012e-26,2.0759331623867817e-17,1.065359541719866e-09,4.4339224609674195e-17,0.004326422589915993,5.028441612446024e-37,8.936182712091501e-23,1.9749961157727357e-16,9.60323195352951e-25,HV,0
717670,18.92,2.1917351515813012e-26,1.1751744523287492e-27,0.0009137765599866648,4.54061202082523e-06,6.096062772783974e-10,5.028441612446024e-37,1.6188636261592282e-35,0.00046676589861970356,0.9316146421154725,4.1668484744741516e-13,HV,1
764144,1.4,1.1751744523287492e-27,0.9952074388694081,1.9515732948808837e-10,1.9749961157727357e-16,4.118975856424422e-16,1.6188636261592282e-35,0.007668141618886344,1.9749961157727357e-16,4.2915578655425274e-39,1.6149739485228108e-36,HV,0
